Feature	Key	StartRange	EndRange
specs_ms_stats_ExplainedIntensity	1	1.03072	97.839
specs_ms_stats_ExplainedPeaks	2	13.5802	64.7482
specs_ms_stats_ObservedB	3	0	95.2381
specs_ms_stats_ObservedBreaks	4	10.7143	100
specs_ms_stats_ObservedDoubleCharge	5	1.37363	27.6923
specs_ms_stats_ObservedNeutral	6	1.37363	32.3077
specs_ms_stats_ObservedY	7	0	92.3077
specs_ms_stats_ParentMassErrorDa	8	0.000405087272727273	1.89341818181818
specs_ms_stats_ParentMassErrorPPM	9	0.876910909090909	4918.32727272727
specs_ms_stats_PercentIntensityB	10	0	80.1919
specs_ms_stats_PercentIntensityDouble	11	0.040028	93.6319
specs_ms_stats_PercentIntensityNeutral	12	0.040028	97.4388
specs_ms_stats_PercentIntensityY	13	0	80.89
specs_ms_stats_TotalPeaks	14	27	327
specs_scored_stats_ExplainedIntensity	15	0	89.9837
specs_scored_stats_ExplainedPeaks	16	0	63.1579
specs_scored_stats_ObservedB	17	0	123.077
specs_scored_stats_ObservedBreaks	18	0	100
specs_scored_stats_ObservedY	21	0	95.65219999999999
specs_scored_stats_ParentMassErrorDa	22	8.34438181818182e-005	6.00216363636364
specs_scored_stats_ParentMassErrorPPM	23	0.112910181818182	12516.7272727273
specs_scored_stats_PercentIntensityB	24	0	43.1412
specs_scored_stats_PercentIntensityY	27	0	54.9127
specs_scored_stats_TotalPeaks	28	1	319
stars_stats_ExplainedIntensity	29	0	100
stars_stats_ExplainedPeaks	30	0	100
stars_stats_ObservedBorY	31	0	80
stars_stats_ObservedBreaks	32	0	100
stars_stats_ParentMassErrorDa	35	8.34438181818182e-005	6.00216363636364
stars_stats_ParentMassErrorPPM	36	0.112910181818182	12516.7272727273
stars_stats_PercentIntensityBorY	37	0	100
stars_stats_TotalPeaks	40	1	319
