Feature	Key	StartRange	EndRange
specs_ms_stats_ExplainedIntensity	1	2.26012	90.92870000000001
specs_ms_stats_ExplainedPeaks	2	14.1791	65.6489
specs_ms_stats_ObservedB	3	0	112.5
specs_ms_stats_ObservedBreaks	4	14.2857	90
specs_ms_stats_ObservedDoubleCharge	5	0	12.0879
specs_ms_stats_ObservedNeutral	6	3.84615	55.5556
specs_ms_stats_ObservedY	7	0	120
specs_ms_stats_ParentMassErrorDa	8	0.000108574545454545	5.25338181818182
specs_ms_stats_ParentMassErrorPPM	9	0.0737761818181818	7356.29090909091
specs_ms_stats_PercentIntensityB	10	0	76.7621
specs_ms_stats_PercentIntensityDouble	11	0	74.2158
specs_ms_stats_PercentIntensityNeutral	12	1.76095	87.4395
specs_ms_stats_PercentIntensityY	13	0	69.627
specs_ms_stats_TotalPeaks	14	28	253
specs_scored_stats_ExplainedIntensity	15	4.47761	98.2174
specs_scored_stats_ExplainedPeaks	16	3.33333	94.1176
specs_scored_stats_ObservedB	17	0	118.182
specs_scored_stats_ObservedBreaks	18	0	100
specs_scored_stats_ObservedY	21	0	109.091
specs_scored_stats_ParentMassErrorDa	22	0.00014501	8.856290909090911
specs_scored_stats_ParentMassErrorPPM	23	0.113760545454545	10328.2181818182
specs_scored_stats_PercentIntensityB	24	0	68.1358
specs_scored_stats_PercentIntensityY	27	0	52.2707
specs_scored_stats_TotalPeaks	28	7	149
stars_stats_ExplainedIntensity	29	0	100
stars_stats_ExplainedPeaks	30	0	100
stars_stats_ObservedBorY	31	0	120
stars_stats_ObservedBreaks	32	0	100
stars_stats_ParentMassErrorDa	35	0.00014501	8.856290909090911
stars_stats_ParentMassErrorPPM	36	0.113760545454545	10328.2181818182
stars_stats_PercentIntensityBorY	37	0	100
stars_stats_TotalPeaks	40	1	149
